 
;캐릭터 번호(NO)
番号,66
 
;이름(NAME), 통칭(CALLNAME)
名前,코가사
呼び名,코가사
 
;기초(BASE)
基礎,체력,1900
基礎,기력,1100
 
;소질(TALENT)
素質,처녀,
素質,솔직,
素質,정서적,
素質,튀고싶어함,
素質,해방,
素質,고통에강함,
素質,젖기어려움,
素質,혀기술,
素質,변태적,
素質,회복빠름,
 
;능력(ABL)
能力,순종,0
能力,욕망,1
能力,기교,1
能力,Ｃ감각,0
能力,Ｖ감각,0
能力,Ａ감각,0
能力,Ｂ감각,0
能力,봉사정신,0
能力,노출증,0
能力,레즈끼,0
能力,ＢＬ끼,0
能力,마조끼,1
能力,자위중독,0
能力,정액중독,0
能力,레즈중독,0
能力,고통중독,0
能力,구속중독,0
能力,회화,0
能力,애무,0
能力,도구,0
能力,성교,0
能力,수치,0
能力,봉사,0
能力,가학,0
能力,이상,0
能力,사역,0
 
;경험(EXP)
経験,Ｃ경험,5
経験,절정경험,1
経験,자위경험,5
経験,정액경험,5
経験,구음경험,10
経験,이상경험,1
 
;궁합(RELATION)
相性,42,120,   ;사나에
 
;장착물(EQUIP)
装着物,악세서리,0,     ;1, 장갑, 2, 소매, 3, 우의
装着物,신발안,0,           ;1, 양말, 2, 니삭스, 3, 가터벨트, 4, 버선
装着物,하반신속옷,2,     ;1, 드로와즈, 2, 팬티, 3, 트렁크, 4, 팬티스타킹, 5, 곤
装着物,상반신속옷,1,     ;1, 브래지어, 2, 캐미숄, 3, 붕대, 4, Ｔ셔츠
装着物,하반신겉옷,1,     ;1, 스커트, 2, 치마바지, 3, 바지, 4, 하카마
装着物,상반신겉옷,1,     ;1, 겉옷
装着物,전신겉옷,0,       ;1, 기모노, 2, 도사복, 3, 원피스
 
;캐릭터 정보(CSTR)
CSTR,두명,유쾌한 잊고 우산
CSTR,등장명,많이 양 코가사
CSTR,로마자,Tatara Kogasa
CSTR,곡1,만년 예비 우산에 주의를
CSTR,곡2,닫을 수 있는 해 구름의 통로
 
;호칭목록(CSTR)
CSTR,기본경칭,기본_통칭씨
CSTR,호칭목록,당신_당신
 
