
;────────────
;도구所持플래그
;────────────

;<※>       現在定義(代入)が行われていない플래그
;!抹消予定! 抹消予定플래그(主に後方互換のため存在)

;ITEM:  0～49 도구一般
0,로터,200,
1,바이브,500,
2,항문비즈,300,
3,페니스밴드,500,

9,커스텀도구,2000,

11,항문바이브,1000,
12,클리캡,600,
13,유두캡,600,
14,오나홀,600,
20,눈가리개,300,
21,채찍,500,
22,밧줄,300,
30,볼개그,300,
31,바늘,500,
32,관장세트,1000,
33,삼각목마,2000,
40,거울,1000,
42,개목걸이,1500,

;薬系、ヒートとクールダウンの計算用
50,로션,4,
51,미약,4,
52,이뇨제,4,

;購入制限関連
60,촉수사역술,5,
61,노예목걸이,-1

;服装関連
;봉인中
;70,코스프레세트
;71,노예복,5000
;72,기모노,5000
;73,메이드복,5000
;74,중국의류,5000
;75,세라복,5000
;76,스쿠미즈,5000
;77,바니걸복,5000
;78,체육복,5000
