
;────────────
;범용 캐릭터 라인 변수
;────────────

;<※>       현재 정의(대입)를 하지 않은플래그
;! 말소 예정! 말소 예정플래그(주로 후방 호환이기 때문에 존재)

;────────────────────────────────────
;굴복실적명        신규 추가＋α@revkoishi(14/05/28)
;────────────────────────────────────
;   기존분           Lv1( 0～11) 굴복포인트+1
1300,호의적반응,    ;【굴복:0】호의적반응(죠교대상가적극적으로 한다계를선택)
1301,전라,          ;【굴복:1】전라로 벗겼다(MASTER의 의복이 없어진다)(※신발안등은 착의에 세지 않는다)
1302,발기,          ;【굴복:2】발기시켰다(발기도 1000 돌파)
1303,쾌Ｃ,          ;【굴복:3】쾌Ｃ를 1000이상 주었다
1304,쾌Ｖ,          ;【굴복:4】쾌Ｖ를 1000이상 주었다
1305,쾌Ａ,          ;【굴복:5】쾌Ａ를 1000이상 준 쾌Ｂ가 되어 있었으므로쾌Ａ에 수정@revkoishi(14/06/01)
1306,쾌Ｂ,          ;【굴복:6】쾌Ｂ를 1000이상 준 쾌Ａ가 되어 있었으므로쾌Ｂ에 수정@revkoishi(14/06/01)
1307,위압,          ;【굴복:7】고통, 공포(하지만 발생)
1308,채찍,            ;【굴복:8】채찍으로 두드렸다
1309,Ａ죠교,        ;【굴복:9】항문죠교(쾌A발생)
1310,구속,          ;【굴복:10】구속했다
1311,키스,          ;【굴복:11】키스
;                   Lv2(12～33) 굴복포인트+2
1312,Ｃ절정,        ;【굴복:12】Ｃ절정
1313,Ｖ절정,        ;【굴복:13】Ｖ절정
1314,Ａ절정,        ;【굴복:14】Ａ절정
1315,Ｂ절정,        ;【굴복:15】Ｂ절정
1316,야외,          ;【굴복:16】야외플레이
1317,거울,          ;【굴복:17】수치플레이
1318,방뇨,          ;【굴복:18】방뇨시켰다(죠교대상가 따르는 계를선택)
1319,사정,          ;【굴복:19】사정
1320,대량사정,      ;【굴복:20】대량사정
1321,조루사정,      ;【굴복:21】사정(조루)
1322,역질내사정,    ;【굴복:22】질내사정당했다
1323,바이브,        ;【굴복:23】바이브
1324,Ａ도구,        ;【굴복:24】항문바이브, 비즈
1325,질내사정,      ;【굴복:25】질내사정
1326,자위절정,      ;【굴복:26】자위절정
1327,역구강사정,    ;【굴복:27】구강사정당했다(펠라/이라마중에죠교자가사정)
1328,구강사정,      ;【굴복:28】구강사정(죠교자펠라중에사정)
1329,적극봉사,      ;【굴복:29】적극봉사(봉사계 혹은발 빨고/이라마중, 적극적으로 따른다)
1330,성교,          ;【굴복:30】성교
1331,허리흔듦,      ;【굴복:31】허리흔듦(성교중적극적으로 따른다)
1332,정욕,          ;【굴복:32】정욕(죠교대상의상태가정욕)
1333,애태움,        ;【굴복:33】애태움플레이
;                   Lv3(34～49) 굴복포인트+3
1334,구속절정,      ;【굴복:34】구속절정
1335,관장,          ;【굴복:35】관장
1336,실금,          ;【굴복:36】실금
1337,다중절정,      ;【굴복:37】다중절정(복수 개소동시절정)
1338,동시절정,      ;【굴복:38】동시절정(죠교대상, 죠교자동시절정)
1339,성교동시절정,  ;【굴복:39】성교동시절정(성교중, 삽입자사정시에 피삽입자가 A/V절정)
1340,분유,          ;【굴복:40】분유
1341,항내사정,      ;【굴복:41】항문에사정
1342,역항내사정,    ;【굴복:42】항문에사정 된다
1343,뽑지않고두발,  ;【굴복:43】뽑지않고두발(사정 후삽입를 중단하지 않고사정)
1344,드라이사정,        ;【굴복:44】드라이사정
1345,전립선사정,    ;【굴복:45】전립선사정
1346,Ａ성교·수,    ;【굴복:46】항문섹스(접수)
1347,Ａ성교·공,    ;【굴복:47】항문섹스(공격)
1348,징계·,      ;【굴복:48】징계·(징계·때, 공포/고통가 발생)
1349,가게해줘,      ;【굴복:49】가게해줘!
;                   Lv4(50～56) 굴복포인트+5
1350,배설,          ;【굴복:50】배설(관장그릇＋플러그해제시)
1351,공중변소,      ;【굴복:51】공중변소(공중육변기플레이수용시)
1352,삼각목마,      ;【굴복:52】삼각목마
1353,Ｖ확장,        ;【굴복:53】Ｖ확장(피스트/양쪽피스트시)
1354,Ａ확장,        ;【굴복:54】Ａ확장(A피스트/양쪽피스트시)
1355,뽑지않고세발,  ;【굴복:55】뽑지않고세발(뽑지않고두발 후삽입를 중단하지 않고사정)
1356,실신,          ;【굴복:56】실신
;                   Lv5(57～58) 굴복포인트+10
1357,처녀상실,      ;【굴복:57】처녀상실
1358,동정상실,      ;【굴복:58】동정상실
;   이하, 추가분     LvX(59～111)굴복포인트 +X
1359,시오후키,        ;【굴복:59】시오후키
1360,역질내Ｖ절정,  ;【굴복:60】질내사정Ｖ절정(죠교자에질내사정당했다와 동시에죠교대상가Ｖ절정)
1361,사중절정,      ;【굴복:61】사중절정
1362,젖음,        ;【굴복:62】젖음(윤활 1000 돌파)

;------------------------------------------------------------------------
;   구상용 리저브  LvX(112～127)굴복포인트 +X
1412,구상예약1,     ;【굴복:112】구상독자실적용 리저브 1
1413,구상예약2,     ;【굴복:113】구상독자실적용 리저브 2
1414,구상예약3,     ;【굴복:114】구상독자실적용 리저브 3
1415,구상예약4,     ;【굴복:115】구상독자실적용 리저브 4
1416,구상예약5,     ;【굴복:116】구상독자실적용 리저브 5
1417,구상예약6,     ;【굴복:117】구상독자실적용 리저브 6
1418,구상예약7,     ;【굴복:118】구상독자실적용 리저브 7
1419,구상예약8,     ;【굴복:119】구상독자실적용 리저브 8
1420,구상예약9,     ;【굴복:120】구상독자실적용 리저브 9
1421,구상예약10,    ;【굴복:121】구상독자실적용 리저브 10
1422,구상예약11,    ;【굴복:122】구상독자실적용 리저브 11
1423,구상예약12,    ;【굴복:123】구상독자실적용 리저브 12
1424,구상예약13,    ;【굴복:124】구상독자실적용 리저브 13
1425,구상예약14,    ;【굴복:125】구상독자실적용 리저브 14
1426,구상예약15,    ;【굴복:126】구상독자실적용 리저브 15
1427,구상예약16,    ;【굴복:127】구상독자실적용 리저브 16
;────────────────────────────────────
